,0,1,2,3
0,     -0.8230426,      0.8641009,0.4154916,19.79046
1,     -1.3120992,     0.22755331,-3.5508192,28.743773
2,     -5.5620997,     0.2151105,-2.1273818,28.342876
3,     -9.6624499,     0.19931403,-1.9538872,28.543325
4,     -5.7223412,     0.41682544,-0.70899403,31.950928
5,     -2.6120992,    0.42435217,-0.07966843,27.541088
6,     -1.2229993,    0.39689407,0.3616235,3.1533432
7,     -0.6915062,   0.38029727,0.23285055,19.790464
8,     0.71872341,     0.39336893,0.29005343,23.198067
9,     3.22341234,     0.3883955,0.59026307,27.67472
10,    3.18473893,     0.3823361,0.65710723,15.313808
11,    8.3188494,     0.37336126,0.6687309,19.79046
12,    7.1812724,     0.3703316,0.66030866,9.768103
13,    2.4547382,     0.38279337,0.6548398,-2.6596296
14,    1.3184733,     0.3758384,0.6475418,6.3604984
15,    0.2073836,     0.38469896,0.64466465,24.267118
