,0,1,2,3
0,-8.662499,0.8641009,0.4154916,19.79046
1,-5.2620997,0.22755331,-3.5508192,28.743773
2,-3.1646342,0.2151105,-2.1273818,28.342876
3,-3.1120992,0.19931403,-1.9538872,28.543325
4,-1.5229993,0.41682544,-0.70899403,31.950928
5,-0.92330426,0.42435217,-0.07966843,27.541088
6,-0.39152062,0.39689407,0.3616235,3.1533432
7,-0.076124206,0.38029727,0.23285055,19.790464
8,0.07389482,0.39336893,0.29005343,23.198067
9,0.26903588,0.3883955,0.59026307,27.67472
10,0.28336504,0.3823361,0.65710723,15.313808
11,0.34230182,0.37336126,0.6687309,19.79046
12,0.35276303,0.3703316,0.66030866,9.768103
13,0.34737045,0.38279337,0.6548398,-2.6596296
14,0.35421112,0.3758384,0.6475418,6.3604984
15,0.34554115,0.38469896,0.64466465,24.267118
